model_0_0.ply,18:26:32:970
model_0_1.ply,18:26:32:993
model_0_2.ply,18:26:33:000
model_1_0.ply,18:26:33:003
model_1_1.ply,18:26:33:027
model_1_2.ply,18:26:33:032
model_2_0.ply,18:26:33:036
model_2_1.ply,18:26:33:060
model_2_2.ply,18:26:33:067
model_3_0.ply,18:26:33:070
model_3_1.ply,18:26:33:093
model_3_2.ply,18:26:33:099
model_4_0.ply,18:26:33:103
model_4_1.ply,18:26:33:127
model_4_2.ply,18:26:33:133
model_5_0.ply,18:26:33:136
model_5_1.ply,18:26:33:160
model_5_2.ply,18:26:33:167
model_6_0.ply,18:26:33:170
model_6_1.ply,18:26:33:193
model_6_2.ply,18:26:33:200
model_7_0.ply,18:26:33:203
model_7_1.ply,18:26:33:227
model_7_2.ply,18:26:33:233
model_8_0.ply,18:26:33:236
model_8_1.ply,18:26:33:260
model_8_2.ply,18:26:33:266
model_9_0.ply,18:26:33:270
model_9_1.ply,18:26:33:293
model_9_2.ply,18:26:33:299
model_10_0.ply,18:26:33:303
model_10_1.ply,18:26:33:327
model_10_2.ply,18:26:33:332
model_11_0.ply,18:26:33:336
model_11_1.ply,18:26:33:360
model_11_2.ply,18:26:33:366
model_12_0.ply,18:26:33:371
model_12_1.ply,18:26:33:393
model_12_2.ply,18:26:33:400
model_13_0.ply,18:26:33:403
model_13_1.ply,18:26:33:427
model_13_2.ply,18:26:33:433
model_14_0.ply,18:26:33:436
model_14_1.ply,18:26:33:460
model_14_2.ply,18:26:33:466
model_15_0.ply,18:26:33:470
model_15_1.ply,18:26:33:493
model_15_2.ply,18:26:33:500
model_16_0.ply,18:26:33:503
model_16_1.ply,18:26:33:527
model_16_2.ply,18:26:33:532
model_17_0.ply,18:26:33:536
model_17_1.ply,18:26:33:560
model_17_2.ply,18:26:33:567
model_18_0.ply,18:26:33:571
model_18_1.ply,18:26:33:593
model_18_2.ply,18:26:33:600
model_19_0.ply,18:26:33:603
model_19_1.ply,18:26:33:627
model_19_2.ply,18:26:33:632
model_20_0.ply,18:26:33:637
model_20_1.ply,18:26:33:660
model_20_2.ply,18:26:33:666
model_21_0.ply,18:26:33:671
model_21_1.ply,18:26:33:694
model_21_2.ply,18:26:33:699
model_22_0.ply,18:26:33:704
model_22_1.ply,18:26:33:727
model_22_2.ply,18:26:33:732
