model_0_0.ply,18:10:10:657
model_0_1.ply,18:10:10:651
model_0_2.ply,18:10:10:633
model_1_0.ply,18:10:10:689
model_1_1.ply,18:10:10:685
model_1_2.ply,18:10:10:666
model_2_0.ply,18:10:10:723
model_2_1.ply,18:10:10:719
model_2_2.ply,18:10:10:700
model_3_0.ply,18:10:10:757
model_3_1.ply,18:10:10:751
model_3_2.ply,18:10:10:733
model_4_0.ply,18:10:10:789
model_4_1.ply,18:10:10:784
model_4_2.ply,18:10:10:766
model_5_0.ply,18:10:10:823
model_5_1.ply,18:10:10:817
model_5_2.ply,18:10:10:799
model_6_0.ply,18:10:10:857
model_6_1.ply,18:10:10:851
model_6_2.ply,18:10:10:834
model_7_0.ply,18:10:10:890
model_7_1.ply,18:10:10:884
model_7_2.ply,18:10:10:866
model_8_0.ply,18:10:10:924
model_8_1.ply,18:10:10:918
model_8_2.ply,18:10:10:899
model_9_0.ply,18:10:10:957
model_9_1.ply,18:10:10:951
model_9_2.ply,18:10:10:933
model_10_0.ply,18:10:10:990
model_10_1.ply,18:10:10:984
model_10_2.ply,18:10:10:966
model_11_0.ply,18:10:11:023
model_11_1.ply,18:10:11:018
model_11_2.ply,18:10:10:999
model_12_0.ply,18:10:11:057
model_12_1.ply,18:10:11:051
model_12_2.ply,18:10:11:033
model_13_0.ply,18:10:11:090
model_13_1.ply,18:10:11:084
model_13_2.ply,18:10:11:066
model_14_0.ply,18:10:11:123
model_14_1.ply,18:10:11:119
model_14_2.ply,18:10:11:099
model_15_0.ply,18:10:11:157
model_15_1.ply,18:10:11:151
model_15_2.ply,18:10:11:133
model_16_0.ply,18:10:11:190
model_16_1.ply,18:10:11:184
model_16_2.ply,18:10:11:166
model_17_0.ply,18:10:11:223
model_17_1.ply,18:10:11:218
model_17_2.ply,18:10:11:199
model_18_0.ply,18:10:11:257
model_18_1.ply,18:10:11:251
model_18_2.ply,18:10:11:233
model_19_0.ply,18:10:11:290
model_19_1.ply,18:10:11:284
model_19_2.ply,18:10:11:266
model_20_0.ply,18:10:11:323
model_20_1.ply,18:10:11:319
model_20_2.ply,18:10:11:300
model_21_0.ply,18:10:11:357
model_21_1.ply,18:10:11:351
model_21_2.ply,18:10:11:334
model_22_0.ply,18:10:11:391
model_22_1.ply,18:10:11:384
model_22_2.ply,18:10:11:367
model_23_0.ply,18:10:11:423
model_23_1.ply,18:10:11:419
model_23_2.ply,18:10:11:400
model_24_0.ply,18:10:11:457
model_24_1.ply,18:10:11:453
model_24_2.ply,18:10:11:434
model_25_0.ply,18:10:11:489
model_25_1.ply,18:10:11:485
model_25_2.ply,18:10:11:467
model_26_0.ply,18:10:11:523
model_26_1.ply,18:10:11:519
model_26_2.ply,18:10:11:500
model_27_0.ply,18:10:11:557
model_27_1.ply,18:10:11:551
model_27_2.ply,18:10:11:534
model_28_0.ply,18:10:11:590
model_28_1.ply,18:10:11:585
model_28_2.ply,18:10:11:567
model_29_0.ply,18:10:11:624
model_29_1.ply,18:10:11:618
model_29_2.ply,18:10:11:600
model_30_0.ply,18:10:11:657
model_30_1.ply,18:10:11:651
model_30_2.ply,18:10:11:634
model_31_0.ply,18:10:11:690
model_31_1.ply,18:10:11:684
model_31_2.ply,18:10:11:667
model_32_0.ply,18:10:11:723
model_32_1.ply,18:10:11:718
model_32_2.ply,18:10:11:700
model_33_0.ply,18:10:11:757
model_33_1.ply,18:10:11:751
model_33_2.ply,18:10:11:735
model_34_0.ply,18:10:11:791
model_34_1.ply,18:10:11:784
model_34_2.ply,18:10:11:767
model_35_0.ply,18:10:11:822
model_35_1.ply,18:10:11:818
model_35_2.ply,18:10:11:800
model_36_0.ply,18:10:11:857
model_36_1.ply,18:10:11:851
model_36_2.ply,18:10:11:834
model_37_0.ply,18:10:11:889
model_37_1.ply,18:10:11:883
model_37_2.ply,18:10:11:867
model_38_0.ply,18:10:11:922
model_38_1.ply,18:10:11:919
model_38_2.ply,18:10:11:900
model_39_0.ply,18:10:11:957
model_39_1.ply,18:10:11:950
model_39_2.ply,18:10:11:934
model_40_0.ply,18:10:11:989
model_40_1.ply,18:10:11:984
model_40_2.ply,18:10:11:967
model_41_0.ply,18:10:12:023
model_41_1.ply,18:10:12:018
model_41_2.ply,18:10:12:000
model_42_0.ply,18:10:12:057
model_42_1.ply,18:10:12:051
model_42_2.ply,18:10:12:034
model_43_0.ply,18:10:12:090
model_43_1.ply,18:10:12:084
model_43_2.ply,18:10:12:067
model_44_0.ply,18:10:12:123
model_44_1.ply,18:10:12:118
model_44_2.ply,18:10:12:100
model_45_0.ply,18:10:12:157
model_45_1.ply,18:10:12:151
model_45_2.ply,18:10:12:134
model_46_0.ply,18:10:12:190
model_46_1.ply,18:10:12:184
model_46_2.ply,18:10:12:167
model_47_0.ply,18:10:12:224
model_47_1.ply,18:10:12:218
model_47_2.ply,18:10:12:200
model_48_0.ply,18:10:12:258
model_48_1.ply,18:10:12:251
model_48_2.ply,18:10:12:234
model_49_0.ply,18:10:12:290
model_49_1.ply,18:10:12:284
model_49_2.ply,18:10:12:267
model_50_0.ply,18:10:12:323
model_50_1.ply,18:10:12:318
model_50_2.ply,18:10:12:301
model_51_0.ply,18:10:12:357
model_51_1.ply,18:10:12:350
model_51_2.ply,18:10:12:334
model_52_0.ply,18:10:12:390
