model_0_0.ply,18:14:40:230
model_0_1.ply,18:14:40:252
model_0_2.ply,18:14:40:234
model_1_0.ply,18:14:40:264
model_1_1.ply,18:14:40:285
model_1_2.ply,18:14:40:268
model_2_0.ply,18:14:40:297
model_2_1.ply,18:14:40:318
model_2_2.ply,18:14:40:301
model_3_0.ply,18:14:40:330
model_3_1.ply,18:14:40:351
model_3_2.ply,18:14:40:334
model_4_0.ply,18:14:40:364
model_4_1.ply,18:14:40:385
model_4_2.ply,18:14:40:368
model_5_0.ply,18:14:40:398
model_5_1.ply,18:14:40:417
model_5_2.ply,18:14:40:401
model_6_0.ply,18:14:40:431
model_6_1.ply,18:14:40:451
model_6_2.ply,18:14:40:434
model_7_0.ply,18:14:40:465
model_7_1.ply,18:14:40:484
model_7_2.ply,18:14:40:468
model_8_0.ply,18:14:40:498
model_8_1.ply,18:14:40:517
model_8_2.ply,18:14:40:500
model_9_0.ply,18:14:40:531
model_9_1.ply,18:14:40:551
model_9_2.ply,18:14:40:534
model_10_0.ply,18:14:40:565
model_10_1.ply,18:14:40:584
model_10_2.ply,18:14:40:567
model_11_0.ply,18:14:40:598
model_11_1.ply,18:14:40:617
model_11_2.ply,18:14:40:600
model_12_0.ply,18:14:40:631
model_12_1.ply,18:14:40:651
model_12_2.ply,18:14:40:634
model_13_0.ply,18:14:40:665
model_13_1.ply,18:14:40:684
model_13_2.ply,18:14:40:668
model_14_0.ply,18:14:40:698
model_14_1.ply,18:14:40:718
model_14_2.ply,18:14:40:700
model_15_0.ply,18:14:40:731
model_15_1.ply,18:14:40:751
model_15_2.ply,18:14:40:734
model_16_0.ply,18:14:40:765
model_16_1.ply,18:14:40:785
model_16_2.ply,18:14:40:768
model_17_0.ply,18:14:40:797
model_17_1.ply,18:14:40:818
model_17_2.ply,18:14:40:802
model_18_0.ply,18:14:40:830
model_18_1.ply,18:14:40:852
model_18_2.ply,18:14:40:835
model_19_0.ply,18:14:40:864
model_19_1.ply,18:14:40:884
model_19_2.ply,18:14:40:867
model_20_0.ply,18:14:40:897
model_20_1.ply,18:14:40:918
model_20_2.ply,18:14:40:901
model_21_0.ply,18:14:40:930
model_21_1.ply,18:14:40:952
model_21_2.ply,18:14:40:934
model_22_0.ply,18:14:40:965
model_22_1.ply,18:14:40:984
model_22_2.ply,18:14:40:967
model_23_0.ply,18:14:40:998
model_23_1.ply,18:14:41:017
model_23_2.ply,18:14:41:001
model_24_0.ply,18:14:41:030
model_24_1.ply,18:14:41:051
