model_0_0.ply,18:24:06:470
model_0_1.ply,18:24:06:492
model_0_2.ply,18:24:06:468
model_1_0.ply,18:24:06:537
model_1_1.ply,18:24:06:525
model_1_2.ply,18:24:06:534
model_2_0.ply,18:24:06:571
model_2_1.ply,18:24:06:559
model_2_2.ply,18:24:06:567
model_3_0.ply,18:24:06:603
model_3_1.ply,18:24:06:625
model_3_2.ply,18:24:06:634
model_4_0.ply,18:24:06:670
model_4_1.ply,18:24:06:659
model_4_2.ply,18:24:06:667
model_5_0.ply,18:24:06:703
model_5_1.ply,18:24:06:725
model_5_2.ply,18:24:06:701
model_6_0.ply,18:24:06:770
model_6_1.ply,18:24:06:759
model_6_2.ply,18:24:06:767
model_7_0.ply,18:24:06:803
model_7_1.ply,18:24:06:793
model_7_2.ply,18:24:06:801
model_8_0.ply,18:24:06:836
model_8_1.ply,18:24:06:860
model_8_2.ply,18:24:06:833
model_9_0.ply,18:24:06:904
model_9_1.ply,18:24:06:893
model_9_2.ply,18:24:06:900
model_10_0.ply,18:24:06:937
model_10_1.ply,18:24:06:926
model_10_2.ply,18:24:06:934
model_11_0.ply,18:24:06:971
model_11_1.ply,18:24:06:992
model_11_2.ply,18:24:07:001
model_12_0.ply,18:24:07:037
model_12_1.ply,18:24:07:025
model_12_2.ply,18:24:07:033
model_13_0.ply,18:24:07:071
model_13_1.ply,18:24:07:092
model_13_2.ply,18:24:07:067
model_14_0.ply,18:24:07:137
model_14_1.ply,18:24:07:126
model_14_2.ply,18:24:07:134
model_15_0.ply,18:24:07:171
model_15_1.ply,18:24:07:159
model_15_2.ply,18:24:07:167
model_16_0.ply,18:24:07:205
model_16_1.ply,18:24:07:226
model_16_2.ply,18:24:07:201
model_17_0.ply,18:24:07:271
model_17_1.ply,18:24:07:260
model_17_2.ply,18:24:07:267
model_18_0.ply,18:24:07:304
model_18_1.ply,18:24:07:293
model_18_2.ply,18:24:07:301
model_19_0.ply,18:24:07:337
model_19_1.ply,18:24:07:360
model_19_2.ply,18:24:07:367
model_20_0.ply,18:24:07:404
model_20_1.ply,18:24:07:392
model_20_2.ply,18:24:07:401
model_21_0.ply,18:24:07:437
model_21_1.ply,18:24:07:460
model_21_2.ply,18:24:07:434
model_22_0.ply,18:24:07:503
model_22_1.ply,18:24:07:493
model_22_2.ply,18:24:07:501
model_23_0.ply,18:24:07:536
model_23_1.ply,18:24:07:525
model_23_2.ply,18:24:07:534
model_24_0.ply,18:24:07:571
model_24_1.ply,18:24:07:592
model_24_2.ply,18:24:07:567
model_25_0.ply,18:24:07:636
model_25_1.ply,18:24:07:626
model_25_2.ply,18:24:07:634
model_26_0.ply,18:24:07:670
model_26_1.ply,18:24:07:660
model_26_2.ply,18:24:07:667
model_27_0.ply,18:24:07:703
model_27_1.ply,18:24:07:726
model_27_2.ply,18:24:07:732
model_28_0.ply,18:24:07:771
model_28_1.ply,18:24:07:759
model_28_2.ply,18:24:07:766
model_29_0.ply,18:24:07:803
model_29_1.ply,18:24:07:826
model_29_2.ply,18:24:07:799
model_30_0.ply,18:24:07:871
model_30_1.ply,18:24:07:859
model_30_2.ply,18:24:07:867
model_31_0.ply,18:24:07:904
model_31_1.ply,18:24:07:892
model_31_2.ply,18:24:07:900
model_32_0.ply,18:24:07:937
model_32_1.ply,18:24:07:959
model_32_2.ply,18:24:07:933
model_33_0.ply,18:24:08:004
model_33_1.ply,18:24:07:992
model_33_2.ply,18:24:08:000
model_34_0.ply,18:24:08:036
model_34_1.ply,18:24:08:025
model_34_2.ply,18:24:08:033
model_35_0.ply,18:24:08:071
model_35_1.ply,18:24:08:092
model_35_2.ply,18:24:08:100
model_36_0.ply,18:24:08:137
model_36_1.ply,18:24:08:125
model_36_2.ply,18:24:08:133
model_37_0.ply,18:24:08:171
model_37_1.ply,18:24:08:192
model_37_2.ply,18:24:08:168
model_38_0.ply,18:24:08:237
model_38_1.ply,18:24:08:226
model_38_2.ply,18:24:08:233
model_39_0.ply,18:24:08:271
model_39_1.ply,18:24:08:268
model_39_2.ply,18:24:08:267
model_40_0.ply,18:24:08:304
model_40_1.ply,18:24:08:330
model_40_2.ply,18:24:08:300
model_41_0.ply,18:24:08:371
model_41_1.ply,18:24:08:360
model_41_2.ply,18:24:08:367
model_42_0.ply,18:24:08:404
model_42_1.ply,18:24:08:392
model_42_2.ply,18:24:08:400

