model_0_0.ply,17:34:22:925
model_0_1.ply,17:34:22:951
model_0_2.ply,17:34:22:954
model_1_0.ply,17:34:22:959
model_1_1.ply,17:34:22:983
model_1_2.ply,17:34:22:989
model_2_0.ply,17:34:22:992
model_2_1.ply,17:34:23:017
model_2_2.ply,17:34:23:021
model_3_0.ply,17:34:23:025
model_3_1.ply,17:34:23:051
model_3_2.ply,17:34:23:054
model_4_0.ply,17:34:23:059
model_4_1.ply,17:34:23:084
model_4_2.ply,17:34:23:089
model_5_0.ply,17:34:23:092
model_5_1.ply,17:34:23:117
model_5_2.ply,17:34:23:121
model_6_0.ply,17:34:23:125
model_6_1.ply,17:34:23:151
model_6_2.ply,17:34:23:154
model_7_0.ply,17:34:23:159
model_7_1.ply,17:34:23:184
model_7_2.ply,17:34:23:188
model_8_0.ply,17:34:23:192
model_8_1.ply,17:34:23:217
model_8_2.ply,17:34:23:221
model_9_0.ply,17:34:23:225
model_9_1.ply,17:34:23:251
model_9_2.ply,17:34:23:254
model_10_0.ply,17:34:23:259
model_10_1.ply,17:34:23:285
model_10_2.ply,17:34:23:288
model_11_0.ply,17:34:23:292
model_11_1.ply,17:34:23:317
model_11_2.ply,17:34:23:321
model_12_0.ply,17:34:23:325
model_12_1.ply,17:34:23:351
model_12_2.ply,17:34:23:355
model_13_0.ply,17:34:23:359
model_13_1.ply,17:34:23:384
model_13_2.ply,17:34:23:389
model_14_0.ply,17:34:23:392
model_14_1.ply,17:34:23:417
model_14_2.ply,17:34:23:422
model_15_0.ply,17:34:23:425
model_15_1.ply,17:34:23:451
model_15_2.ply,17:34:23:455
model_16_0.ply,17:34:23:459
model_16_1.ply,17:34:23:484
model_16_2.ply,17:34:23:489
model_17_0.ply,17:34:23:493
model_17_1.ply,17:34:23:517
model_17_2.ply,17:34:23:522
model_18_0.ply,17:34:23:526
model_18_1.ply,17:34:23:551
model_18_2.ply,17:34:23:555
model_19_0.ply,17:34:23:559
model_19_1.ply,17:34:23:584
model_19_2.ply,17:34:23:589
model_20_0.ply,17:34:23:592
model_20_1.ply,17:34:23:617
model_20_2.ply,17:34:23:622
model_21_0.ply,17:34:23:625
model_21_1.ply,17:34:23:651
model_21_2.ply,17:34:23:655
model_22_0.ply,17:34:23:660
model_22_1.ply,17:34:23:684
model_22_2.ply,17:34:23:689
model_23_0.ply,17:34:23:692
model_23_1.ply,17:34:23:717
model_23_2.ply,17:34:23:722
model_24_0.ply,17:34:23:726
model_24_1.ply,17:34:23:752
model_24_2.ply,17:34:23:755
model_25_0.ply,17:34:23:759
model_25_1.ply,17:34:23:784
model_25_2.ply,17:34:23:789
model_26_0.ply,17:34:23:792
model_26_1.ply,17:34:23:817
model_26_2.ply,17:34:23:822
model_27_0.ply,17:34:23:826
model_27_1.ply,17:34:23:852
model_27_2.ply,17:34:23:855
model_28_0.ply,17:34:23:859
model_28_1.ply,17:34:23:884
model_28_2.ply,17:34:23:889
