model_0_0.ply,18:20:21:797
model_0_1.ply,18:20:21:784
model_0_2.ply,18:20:21:769
model_1_0.ply,18:20:21:829
model_1_1.ply,18:20:21:818
model_1_2.ply,18:20:21:801
model_2_0.ply,18:20:21:863
model_2_1.ply,18:20:21:852
model_2_2.ply,18:20:21:834
model_3_0.ply,18:20:21:896
model_3_1.ply,18:20:21:886
model_3_2.ply,18:20:21:869
model_4_0.ply,18:20:21:929
model_4_1.ply,18:20:21:918
model_4_2.ply,18:20:21:901
model_5_0.ply,18:20:21:964
model_5_1.ply,18:20:21:952
model_5_2.ply,18:20:21:934
model_6_0.ply,18:20:21:996
model_6_1.ply,18:20:21:985
model_6_2.ply,18:20:21:969
model_7_0.ply,18:20:22:028
model_7_1.ply,18:20:22:018
model_7_2.ply,18:20:22:001
model_8_0.ply,18:20:22:063
model_8_1.ply,18:20:22:051
model_8_2.ply,18:20:22:034
model_9_0.ply,18:20:22:098
model_9_1.ply,18:20:22:085
model_9_2.ply,18:20:22:068
model_10_0.ply,18:20:22:130
model_10_1.ply,18:20:22:117
model_10_2.ply,18:20:22:101
model_11_0.ply,18:20:22:163
model_11_1.ply,18:20:22:152
model_11_2.ply,18:20:22:135
model_12_0.ply,18:20:22:196
model_12_1.ply,18:20:22:184
model_12_2.ply,18:20:22:168
model_13_0.ply,18:20:22:230
model_13_1.ply,18:20:22:217
model_13_2.ply,18:20:22:202
model_14_0.ply,18:20:22:264
model_14_1.ply,18:20:22:250
model_14_2.ply,18:20:22:235
model_15_0.ply,18:20:22:297
model_15_1.ply,18:20:22:283
model_15_2.ply,18:20:22:269
model_16_0.ply,18:20:22:330
model_16_1.ply,18:20:22:316
model_16_2.ply,18:20:22:301
model_17_0.ply,18:20:22:364
model_17_1.ply,18:20:22:350
model_17_2.ply,18:20:22:333
model_18_0.ply,18:20:22:397
model_18_1.ply,18:20:22:383
model_18_2.ply,18:20:22:367
model_19_0.ply,18:20:22:429
model_19_1.ply,18:20:22:416
model_19_2.ply,18:20:22:401
model_20_0.ply,18:20:22:463
model_20_1.ply,18:20:22:450
model_20_2.ply,18:20:22:434
model_21_0.ply,18:20:22:496
model_21_1.ply,18:20:22:484
model_21_2.ply,18:20:22:468
model_22_0.ply,18:20:22:530
model_22_1.ply,18:20:22:517
model_22_2.ply,18:20:22:501
model_23_0.ply,18:20:22:564
model_23_1.ply,18:20:22:552
model_23_2.ply,18:20:22:535
model_24_0.ply,18:20:22:597
model_24_1.ply,18:20:22:583
model_24_2.ply,18:20:22:568
model_25_0.ply,18:20:22:629
model_25_1.ply,18:20:22:617
model_25_2.ply,18:20:22:602
model_26_0.ply,18:20:22:664
model_26_1.ply,18:20:22:652
model_26_2.ply,18:20:22:634
model_27_0.ply,18:20:22:696
model_27_1.ply,18:20:22:684
model_27_2.ply,18:20:22:668
model_28_0.ply,18:20:22:729
model_28_1.ply,18:20:22:717
model_28_2.ply,18:20:22:701
model_29_0.ply,18:20:22:763
model_29_1.ply,18:20:22:751
model_29_2.ply,18:20:22:734
model_30_0.ply,18:20:22:796
model_30_1.ply,18:20:22:784
model_30_2.ply,18:20:22:770
model_31_0.ply,18:20:22:830
model_31_1.ply,18:20:22:817
model_31_2.ply,18:20:22:801
model_32_0.ply,18:20:22:863
model_32_1.ply,18:20:22:851
model_32_2.ply,18:20:22:834
model_33_0.ply,18:20:22:896
model_33_1.ply,18:20:22:884
model_33_2.ply,18:20:22:868
model_34_0.ply,18:20:22:930
model_34_1.ply,18:20:22:917
model_34_2.ply,18:20:22:901
model_35_0.ply,18:20:22:963
model_35_1.ply,18:20:22:951
model_35_2.ply,18:20:22:934
model_36_0.ply,18:20:22:997
model_36_1.ply,18:20:22:984
model_36_2.ply,18:20:22:968
model_37_0.ply,18:20:23:029
model_37_1.ply,18:20:23:017
model_37_2.ply,18:20:23:001
model_38_0.ply,18:20:23:064
model_38_1.ply,18:20:23:051
model_38_2.ply,18:20:23:034
model_39_0.ply,18:20:23:096
model_39_1.ply,18:20:23:084
model_39_2.ply,18:20:23:068
model_40_0.ply,18:20:23:130
model_40_1.ply,18:20:23:117
model_40_2.ply,18:20:23:102
model_41_0.ply,18:20:23:164
model_41_1.ply,18:20:23:152
model_41_2.ply,18:20:23:134
model_42_0.ply,18:20:23:196
model_42_1.ply,18:20:23:185
model_42_2.ply,18:20:23:168
model_43_0.ply,18:20:23:230
model_43_1.ply,18:20:23:218
model_43_2.ply,18:20:23:201
